fecha,fase,local,visitante
2018-06-14,Fase de Grupos,Rusia,Arabia Saudita
2018-06-15,Fase de Grupos,Egipto,Uruguay
2018-06-15,Fase de Grupos,Marruecos,Irán
2018-06-15,Fase de Grupos,Portugal,España
2018-06-16,Fase de Grupos,Francia,Australia
2018-06-16,Fase de Grupos,Argentina,Islandia
2018-06-16,Fase de Grupos,Perú,Dinamarca
2018-06-16,Fase de Grupos,Croacia,Nigeria
2018-06-17,Fase de Grupos,Costa Rica,Serbia
2018-06-17,Fase de Grupos,Alemania,México
2018-06-17,Fase de Grupos,Brasil,Suiza
2018-06-18,Fase de Grupos,Suecia,Corea del Sur
2018-06-18,Fase de Grupos,Bélgica,Panamá
2018-06-18,Fase de Grupos,Túnez,Inglaterra
2018-06-19,Fase de Grupos,Colombia,Japón
2018-06-19,Fase de Grupos,Polonia,Senegal
2018-06-19,Fase de Grupos,Rusia,Egipto
2018-06-20,Fase de Grupos,Portugal,Marruecos
2018-06-20,Fase de Grupos,Uruguay,Arabia Saudita
2018-06-20,Fase de Grupos,Irán,España
2018-06-21,Fase de Grupos,Dinamarca,Australia
2018-06-21,Fase de Grupos,Francia,Perú
2018-06-21,Fase de Grupos,Argentina,Croacia
2018-06-22,Fase de Grupos,Brasil,Costa Rica
2018-06-22,Fase de Grupos,Nigeria,Islandia
2018-06-22,Fase de Grupos,Serbia,Suiza
2018-06-23,Fase de Grupos,Bélgica,Túnez
2018-06-23,Fase de Grupos,Corea del Sur,México
2018-06-23,Fase de Grupos,Alemania,Suecia
2018-06-24,Fase de Grupos,Inglaterra,Panamá
2018-06-24,Fase de Grupos,Japón,Senegal
2018-06-24,Fase de Grupos,Polonia,Colombia
2018-06-25,Fase de Grupos,Uruguay,Rusia
2018-06-25,Fase de Grupos,Arabia Saudita,Egipto
2018-06-25,Fase de Grupos,España,Marruecos
2018-06-25,Fase de Grupos,Irán,Portugal
2018-06-26,Fase de Grupos,Dinamarca,Francia
2018-06-26,Fase de Grupos,Australia,Perú
2018-06-26,Fase de Grupos,Nigeria,Argentina
2018-06-26,Fase de Grupos,Islandia,Croacia
2018-06-27,Fase de Grupos,Corea del Sur,Alemania
2018-06-27,Fase de Grupos,México,Suecia
2018-06-27,Fase de Grupos,Serbia,Brasil
2018-06-27,Fase de Grupos,Suiza,Costa Rica
2018-06-28,Fase de Grupos,Japón,Polonia
2018-06-28,Fase de Grupos,Senegal,Colombia
2018-06-28,Fase de Grupos,Panamá,Túnez
2018-06-28,Fase de Grupos,Inglaterra,Bélgica
2018-06-30,Octavos de Final,Francia,Argentina
2018-06-30,Octavos de Final,Uruguay,Portugal
2018-07-01,Octavos de Final,España,Rusia
2018-07-01,Octavos de Final,Croacia,Dinamarca
2018-07-02,Octavos de Final,Brasil,México
2018-07-02,Octavos de Final,Bélgica,Japón
2018-07-03,Octavos de Final,Suecia,Suiza
2018-07-03,Octavos de Final,Colombia,Inglaterra
2018-07-06,Cuartos de Final,Uruguay,Francia
2018-07-06,Cuartos de Final,Brasil,Bélgica
2018-07-07,Cuartos de Final,Suecia,Inglaterra
2018-07-07,Cuartos de Final,Rusia,Croacia
2018-07-10,Semifinal,Francia,Bélgica
2018-07-11,Semifinal,Croacia,Inglaterra
2018-07-14,Tercer Puesto,Bélgica,Inglaterra
2018-07-15,Final,Francia,Croacia
